@T,table
Created,2016-11-08 19:32
Author,HortonMachine library
@H,timestamp,value,value
ID,,10,20
Type,Date,Double
Format,yyyy-MM-dd HH:mm,,
,2017-01-01 00:00,0.0,0.5
,2017-01-01 00:05,0.0,0.5
,2017-01-01 00:10,0.0,0.5
,2017-01-01 00:15,0.0,0.5
,2017-01-01 00:20,0.0,0.5
,2017-01-01 00:25,0.0,0.5
,2017-01-01 00:30,0.0,0.5
,2017-01-01 00:35,0.0,0.5
,2017-01-01 00:40,0.0,0.5
,2017-01-01 00:45,0.0,0.5
,2017-01-01 00:50,0.0,0.5
,2017-01-01 00:55,0.0,0.5
,2017-01-01 01:00,0.0,0.5
,2017-01-01 01:05,0.0,0.5
,2017-01-01 01:10,0.0,0.5
,2017-01-01 01:15,0.0,0.5
,2017-01-01 01:20,0.0,0.5
,2017-01-01 01:25,0.0,0.5
,2017-01-01 01:30,0.0,0.5
,2017-01-01 01:35,0.0,0.5
,2017-01-01 01:40,0.0,0.5
,2017-01-01 01:45,0.0,0.5
,2017-01-01 01:50,0.0,0.5
,2017-01-01 01:55,0.0,0.5
,2017-01-01 02:00,0.0,0.5
,2017-01-01 02:05,0.0,0.5
,2017-01-01 02:10,0.0,0.5
,2017-01-01 02:15,0.0,0.5
,2017-01-01 02:20,0.0,0.5
,2017-01-01 02:25,0.0,0.5
,2017-01-01 02:30,0.0,0.5
,2017-01-01 02:35,0.0,0.5
,2017-01-01 02:40,0.0,0.5
,2017-01-01 02:45,0.0,0.5
,2017-01-01 02:50,0.0,0.5
,2017-01-01 02:55,0.0,0.5
,2017-01-01 03:00,0.0,0.5
,2017-01-01 03:05,0.0,0.5
,2017-01-01 03:10,0.0,0.5
,2017-01-01 03:15,0.0,0.5
,2017-01-01 03:20,0.0,0.5
,2017-01-01 03:25,0.0,0.5
,2017-01-01 03:30,0.0,0.5
,2017-01-01 03:35,0.0,0.5
,2017-01-01 03:40,0.0,0.5
,2017-01-01 03:45,0.0,0.5
,2017-01-01 03:50,0.0,0.5
,2017-01-01 03:55,0.0,0.5
,2017-01-01 04:00,0.0,0.5
,2017-01-01 04:05,0.0,0.5
,2017-01-01 04:10,0.0,0.5
,2017-01-01 04:15,0.0,0.5
,2017-01-01 04:20,0.0,0.5
,2017-01-01 04:25,0.0,0.5
,2017-01-01 04:30,0.0,0.5
,2017-01-01 04:35,0.0,0.5
,2017-01-01 04:40,0.0,0.5
,2017-01-01 04:45,0.0,0.5
,2017-01-01 04:50,0.0,0.5
,2017-01-01 04:55,0.0,0.5
,2017-01-01 05:00,0.0,0.5
